freq,unit,hhtyp,geo\TIME_PERIOD	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HH,A1,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56.73 	: 	58.56 	70.76 	89.59 	83.19 	: 
A,PC_HH,A1,AT	20.08 	24.53 	31.01 	32.67 	37.60 	43.30 	55.32 	50.66 	53.97 	58.48 	67.89 	68.60 	68.41 	70.08 	72.48 	81.14 	79.03 	83.54 	82.55 	90.39 	87.67 	90.50 	91.49 
A,PC_HH,A1,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.15 	60.28 	46.08 	62.66 	: 	63.91 	61.45 
A,PC_HH,A1,BE	: 	: 	: 	29.75 	33.40 	39.55 	43.08 	44.45 	51.50 	56.50 	58.47 	63.45 	67.49 	64.99 	70.10 	72.68 	75.31 	78.20 	80.63 	82.93 	88.41 	88.07 	82.58 
A,PC_HH,A1,BG	: 	: 	4.40 	: 	: 	9.64 	13.71 	10.80 	15.24 	19.99 	27.19 	30.28 	30.23 	32.51 	38.58 	44.37 	47.52 	49.90 	54.86 	64.24 	68.51 	77.93 	84.13 
A,PC_HH,A1,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.27 	: 	: 	86.84 b	: 	92.88 	: 	97.20 	: 	99.29 	: 
A,PC_HH,A1,CY	: 	: 	47.93 	15.15 	16.96 	17.29 	25.97 	30.99 	23.07 	38.52 	37.92 	46.74 	48.77 	51.88 	54.02 	61.58 	74.59 	75.49 	86.26 	86.17 	89.62 	85.22 	87.14 
A,PC_HH,A1,CZ	: 	: 	6.87 	6.68 	14.09 	17.74 	28.37 	28.46 	35.14 	46.95 	48.86 	50.32 	58.69 	60.24 	66.17 	65.15 	69.65 	74.73 	72.04 	75.78 	82.45 	85.21 	85.71 
A,PC_HH,A1,DE	33.33 	36.56 	44.32 	45.93 	48.04 	54.51 	58.16 	65.40 	70.72 	71.68 	74.07 	78.41 	80.80 	81.74 	84.90 	86.11 	89.54 	90.08 	91.59 	85.96 b	85.48 	86.17 	86.96 
A,PC_HH,A1,DK	35.42 	47.32 	53.05 	59.54 	63.87 	63.30 	68.39 	73.87 	77.92 	80.67 	82.83 	83.48 	86.38 	84.28 	87.29 	92.84 	84.96 	90.59 	88.71 	90.98 	89.15 	91.36 	93.86 
A,PC_HH,A1,EA	21.18 	25.35 	31.85 	37.53 	36.13 	43.18 	46.86 	52.95 	57.99 	59.40 	63.34 	67.22 	70.06 	71.27 	75.24 	77.85 	81.30 	83.69 	85.54 e	86.41 b	86.88 	87.62 	88.87 
A,PC_HH,A1,EE	: 	: 	11.25 	22.16 	23.36 	30.81 	35.37 	34.99 	42.95 	48.85 	56.28 	62.40 	70.93 b	76.80 	72.35 	78.20 	80.43 	82.38 	79.90 	83.61 	85.58 	86.96 	85.82 
A,PC_HH,A1,EL	8.27 	11.54 	11.03 	15.23 	12.98 	15.01 	19.07 	22.15 	35.16 	34.69 	35.85 	40.08 	55.20 	56.21 	49.06 	55.94 	59.11 	62.08 	62.56 	75.01 	73.62 	77.81 	81.16 
A,PC_HH,A1,ES	: 	11.92 	15.43 	17.48 	20.13 	23.21 	27.21 	30.50 	32.74 	39.76 	44.51 	48.43 	54.89 	61.75 	64.67 	70.27 	75.53 	84.83 	89.10 	92.11 	92.90 	94.33 	95.42 
A,PC_HH,A1,EU15	23.19 	27.43 	32.97 	38.77 	38.41 	45.04 	48.63 	54.70 	59.80 	61.34 	65.29 	71.22 	71.74 	73.19 	77.35 	79.96 	82.55 	: 	: 	: 	: 	: 	: 
A,PC_HH,A1,EU25	: 	: 	29.52 	34.56 	35.46 	41.73 	45.46 	51.75 	56.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_HH,A1,EU27_2007	: 	: 	29.18 	34.56 	34.49 	40.45 	44.14 	50.29 	55.13 	57.04 	61.24 	67.04 	67.85 	69.50 	73.91 	76.59 	79.61 	: 	: 	: 	: 	: 	: 
A,PC_HH,A1,EU27_2020	: 	: 	: 	: 	: 	39.29 	43.28 	49.57 	54.23 	56.01 	60.12 	63.93 	66.84 	68.64 	72.85 	75.33 	78.78 	81.70 	83.55 e	85.09 b	85.93 	86.95 	88.82 
A,PC_HH,A1,EU28	: 	: 	: 	: 	: 	40.27 	43.98 	50.11 	54.92 	56.87 	61.06 	66.78 	67.71 	69.43 	73.81 	76.46 	79.53 	82.66 	: 	: 	: 	: 	: 
A,PC_HH,A1,FI	27.64 	30.23 	33.31 	34.76 	45.30 	51.05 	52.76 	62.61 	66.52 	72.13 	77.55 	80.43 	81.25 	81.61 	84.19 	88.82 	89.53 	90.71 	92.40 	93.78 	95.88 	94.92 	95.11 
A,PC_HH,A1,FR	10.18 	13.66 	20.28 	: 	24.97 	38.75 	43.74 	51.36 	57.69 	55.74 	63.58 	66.18 	67.28 	66.31 	73.51 	73.76 	77.91 	81.61 	: 	86.01 	86.33 	87.08 	89.73 
A,PC_HH,A1,HR	: 	: 	: 	: 	: 	12.49 	19.34 	22.16 	20.47 	28.79 	30.58 	30.94 	31.30 	35.08 	39.25 	32.21 	49.78 	43.31 	64.09 	62.82 	64.21 	69.35 	74.35 
A,PC_HH,A1,HU	: 	: 	3.99 	11.35 	16.83 	20.02 	23.11 	29.91 	32.47 	37.38 	40.56 	44.35 	47.61 	52.60 	59.96 	65.76 	66.92 	71.25 	73.73 	81.05 	80.09 	83.82 	89.71 
A,PC_HH,A1,IE	: 	15.16 	16.18 	21.74 	21.88 	30.21 	32.16 	35.52 	42.26 	51.45 	55.23 	54.48 	56.29 	59.87 	65.77 	65.39 	71.75 	74.64 	88.39 	93.14 b	: u	77.35 	68.82 
A,PC_HH,A1,IS	: 	: 	45.12 	54.43 	55.93 	58.56 	72.31 	75.28 	70.78 	82.57 	86.30 	92.09 	90.11 	: 	: 	95.12 	97.67 	93.28 	96.48 	96.43 	: 	: 	: 
A,PC_HH,A1,IT	11.02 	22.36 	21.06 	20.85 	20.95 	24.45 	27.67 	34.13 	38.94 	41.91 	43.17 	49.19 	56.09 	59.06 	63.91 	68.99 	73.17 	73.55 	77.47 	80.36 	83.78 	84.78 	88.05 
A,PC_HH,A1,LT	: 	: 	3.04 	4.71 	11.85 	16.26 	25.61 	32.44 	33.51 	31.49 	31.66 	38.11 	44.32 	46.19 	52.34 	56.74 	61.99 	65.77 	69.93 	77.64 	80.20 	82.31 	84.45 
A,PC_HH,A1,LU	26.66 	30.56 	47.09 	45.40 	51.91 	61.49 	63.24 	74.76 	80.81 	81.99 	85.80 	87.56 	90.91 	92.02 	94.47 	94.23 	87.44 b	89.32 	84.71 	97.97 	94.86 	98.45 	95.56 
A,PC_HH,A1,LV	: 	: 	3.48 	11.71 	17.14 	18.02 	18.70 	24.38 	31.92 	33.41 	38.19 	46.55 	48.67 	51.95 	59.46 b	60.93 	67.28 	73.71 	81.74 	83.05 	83.37 	87.40 	: 
A,PC_HH,A1,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.84 	: 	: 	: 	: 	34.80 	35.33 	39.26 	47.96 	46.81 	51.16 	58.32 	61.44 
A,PC_HH,A1,MK	: 	: 	6.48 	: 	: u	: 	: u	: u	7.76 	: 	17.59 	18.22 	11.52 	20.11 	21.13 	23.23 	33.75 	39.54 	48.11 	51.00 	: 	: 	66.48 
A,PC_HH,A1,MT	: 	: 	: 	7.72 	55.97 	24.01 	24.44 	30.34 	39.26 	44.99 	52.14 	59.36 	53.35 	63.62 	60.55 	68.05 	62.58 	76.53 	80.12 	78.97 	85.59 	87.23 	92.77 
A,PC_HH,A1,NL	: 	: 	: 	62.38 	64.40 	67.53 	70.55 	78.38 	82.84 	85.75 	86.76 	88.11 	91.53 	93.26 	94.91 	96.02 	96.65 	97.36 	93.88 	97.99 	97.74 	98.74 	98.49 
A,PC_HH,A1,NO	: 	44.39 	37.68 	52.80 	50.18 	64.02 	67.89 	72.21 	83.55 	86.22 	84.57 	90.04 	86.27 	93.65 	94.96 	93.29 	92.54 	96.46 	92.37 	98.13 	98.29 	98.65 	97.04 
A,PC_HH,A1,PL	: 	: 	15.91 	14.70 	16.10 	17.20 	20.84 	30.21 	32.69 	32.32 	39.58 	42.89 	45.26 	45.44 	51.80 	52.55 	57.11 	64.26 	74.08 	78.85 	80.98 	79.27 	86.35 
A,PC_HH,A1,PT	: 	7.18 	9.06 	13.13 	13.08 	15.57 	22.28 	23.61 	28.97 	32.80 	33.98 	37.59 	39.82 	48.44 	51.98 	57.05 	70.63 	70.33 	76.11 	80.98 	80.59 	81.99 	84.59 
A,PC_HH,A1,RO	: 	: 	: 	: 	5.37 	9.98 	11.82 	16.29 	18.59 	19.90 	29.32 	32.78 	36.45 b	45.33 	47.29 	52.84 	59.19 	64.90 	67.64 	72.97 	76.75 	80.81 	87.35 
